The oldest department store is Trimingham 's , which has a comprehensive range of designer goods such as perfume and clothing , but other stores act as exclusive agents for certain producers -LRB- for example , Bluck 's and Cooper 's specialize in china and crystal -RRB- .	an assortment of designer goods sold by Trimingham 's department store
The finer the thread , and the more complex the pattern , the more expensive the piece .	silk manufacturing techniques
The main entrance to the circular old town , near the harbor , is the 19th-century Arco da Vila , a charming arch and bell tower habitually crowned by a venerable family of nesting storks .	storks making their nests in a picturesque bell tower and arch
Herring Cove gives you a good view and detailed explanations of the tides .	100 % operated by tidal power
Each spring , provided that weather conditions are favorable , it becomes a home to flamingos .	a spring home to flamingos in good weather
He chose his oak and walnut from North America , teak from Asia , paneling , marble , and glass from Europe .	different building materials from all over the world
In summer months there are sightseeing launches and , for the brave , swimming .	swimming in the summer months
Beijing 's grandest modern shopping mall is Sun Dong An Plaza .	both modern and classic Chinese goods
Surrounding the marina are numerous boutiques , restaurants , and travel agencies , plus all types of services to accommodate arriving cruisers .	perennial spirit of celebration
Across the western tip of Bali , mangrove swamps surround Gillimanuk , not much more than one wide street , a few homestays , and the ferry terminal for Java .	the all-encompassing mangrove swamps all over Bali 's western coast
An island of wonderful sandy beaches and farmland , it is also home to a large US military reserve .	wonderful sandy island beaches
You are sure to find your own favorites , but here are a few acknowledged highlights .	a clear tidal lake
The heart of the city is Plaza Major -LRB- also known by a variety of names such as Plaza des Armas , Plaza Principal , Plaza de la Independencia , and Plaza de la Revolucion -RRB- .	Revolution Plaza , also known locally as Plaza Major
A nice excursion from Tavira is to the nearby island Ilha de Tavira , where there is a huge and thoroughly appealing beach backed by sand dunes .	sand dunes leading to a giant ocean beach
It can not be seen fully until you enter its precincts through a narrow passage from the street .	a narrow alley from the main street
After a second Dutch landing at Padangbai Bay , the puputan ritual was repeated when the Raja of Karangasem and his family threw themselves on the enemy guns .	the puputan ritual of self-sacrifice , as demonstrated by the Raja of Karangasem and his family
Nearby , the `` Peak That Flew from Afar '' -LRB- Feilaifeng -RRB- shelters 380 Buddhist stone carvings created during the Yuan Dynasty and four sacred caves .	victory against them at Nándorfehérvár -LRB- now Belgrade -RRB- in 1456
Here on the night of 18 April , 1775 , sexton Robert Newman climbed the tower and hung the two lanterns -LRB- `` one , if by land , and two , if by sea '' -RRB- warning the colonists in Concord of British troop movements .	classical Americana forming the basis for a rich legend of Paul Revere
In Ontario and Québec , where encroaching forests gradually dispersed the herds of caribou , the Iroquois ousted the Algonquin and settled down to cultivate maize , beans , and squash , living in rectangular , multifamily longhouses .	cultivation crops and living in houses
Many provincial towns and villages hold Sunday markets where haggling is , of course , all part of the fun .	Sunday markets
The Film Museum in Vondelpark also has special showings and film festivals .	film festivals and special movie showings
The Spanish Aero cable car gives you a bird 's - eye view of the Niagara Whirlpool rapids .	an aerial look on the rapids
It is thought that large wooden doors were fitted between the pillars and that these could be removed to create a stoa -LRB- open fronted arcade -RRB- if the King wished it .	removable , large wooden doors
Do look beyond the tempting shop fronts to really get the most out of your tour .	shopping while on vacation
Take the cable car across the gorge for a close-up view of the rapids .	a close-up view of the rapids
